Tipo,Prov_Ciudad,Zona,Calle,Precio,Metros,Habitación,Baños
Piso,Barcelona,NA,Sant Antoni,1200,70,2,1
Apartamento,Barcelona,NA,Sant Gervasi – La Bonanova,1150,60,2,1
Piso,Barcelona,NA,Camp d´en Grassot,1400,105,3,2
Piso,Barcelona,La Marina de Port,calle Dels Ferrocarrils Catalans,1100,49,1,1
Piso,Barcelona,La Guineueta,calle Gasela,750,58,3,1
Piso,Barcelona,NA,Vallcarca i els Penitents,1600,70,3,1
Piso,Barcelona,NA,Sant Gervasi – La Bonanova,2100,180,3,3
Piso,Barcelona,Sarrià,calle Joan Bosco,2400,135,4,2
Piso,Barcelona,Vallcarca i els Penitents,paseo Mare de Deu del Coll,1600,115,3,2
Piso,Barcelona,Sants,calle Melcior de Palau,1385,78,2,2
Piso,Barcelona,La Marina de Port,calle Ferrocarriles Catalanes,1100,48,1,1
Piso,Barcelona,El Clot,calle Espronceda,1100,90,4,2
Piso,Barcelona,El Poble Sec-Montjuïc,calle Muga,920,54,3,1
Piso,Barcelona,El Putxet i Farró,calle La Costa,1100,65,3,1
Bajo,Barcelona,Eixample esquerra,calle La Nova Esquerra de L´Eixample,2000,112,3,2
Piso,Barcelona,NA,Sant Gervasi – Galvany,5207,293,5,5
Piso,Barcelona,Eixample dreta,calle Pau Claris,1400,125,3,1
Apartamento,Barcelona,NA,Born-Santa Caterina-Sant Pere-La Ribera,1900,104,2,2
Piso,Barcelona,El Putxet i Farró,calle Madrazo,1500,80,3,2
Piso,Barcelona,NA,Sant Antoni,1700,55,2,1
Piso,Barcelona,NA,Eixample dreta,2400,240,6,2
Piso,Barcelona,NA,Eixample dreta,2300,80,2,2
Apartamento,Barcelona,Eixample dreta,calle De Fontanella,1750,90,2,2
Piso,Barcelona,Sants,calle Galileo,850,62,3,1
Piso,Barcelona,Eixample dreta,calle Roger de Lluria,1750,94,3,2
Piso,Barcelona,Can Baró,calle França,1200,78,2,1
Piso,Barcelona,Horta,calle Baixada de la Plana,850,68,3,1
Piso,Barcelona,El Poble Sec-Montjuïc,calle Poble Sec,1120,65,3,1
Apartamento,Barcelona,NA,Sant Gervasi – La Bonanova,1150,60,2,1
Piso,Barcelona,Eixample dreta,calle Sant Joan,1300,120,4,2
Ático,Barcelona,NA,Eixample esquerra,1800,55,1,1
Piso,Barcelona,Eixample esquerra,calle Comte D´Urgell,1579,86,2,2
Piso,Barcelona,Hostafrancs,calle Herenni,750,42,1,1
Piso,Barcelona,Sant Gervasi – Galvany,calle Avenir,2300,160,4,2
Piso,Barcelona,NA,Born-Santa Caterina-Sant Pere-La Ribera,1900,85,3,2
Piso,Barcelona,NA,Sant Gervasi – Galvany,1350,70,1,1
Piso,Barcelona,Navas,calle Paseo de Maragall,950,69,3,1
Piso,Barcelona,Trinitat Vella,calle De Finestrelles,675,60,3,1
Piso,Barcelona,NA,Eixample dreta,1700,60,2,1
Apartamento,Barcelona,NA,Eixample dreta,6000,185,3,3
Piso,Barcelona,Eixample dreta,calle Consell de Cent,2300,80,2,1
Piso,Barcelona,Eixample esquerra,calle Borrell,1120,75,2,1
Piso,Barcelona,El Poble Sec-Montjuïc,calle Creu Dels Molers,1150,62,1,1
Apartamento,Barcelona,NA,Vila de Gràcia,1400,135,2,2
Piso,Barcelona,Les Tres Torres,calle Castellnou,1300,90,4,2
Piso,Barcelona,NA,Sant Gervasi – Galvany,1100,50,2,1
Ático,Barcelona,NA,Eixample dreta,1950,67,1,1
Piso,Barcelona,El Poblenou,calle Taulat,850,80,2,1
Piso,Barcelona,La Sagrada Família,calle Industria,1200,107,3,2
Piso,Barcelona,NA,Born-Santa Caterina-Sant Pere-La Ribera,3100,280,4,3
Piso,Barcelona,La Vila Olímpica,calle Ramon Trias Fargas,1950,85,3,2
Piso,Barcelona,NA,El Gótic,1000,40,1,1
Piso,Barcelona,NA,Eixample esquerra,1600,97,3,2
Piso,Barcelona,Sarrià,calle Sarrià,2400,140,4,2
Piso,Barcelona,NA,Les corts,1250,65,3,1
Piso,Barcelona,NA,Sant Gervasi – La Bonanova,1100,50,1,1
Piso,Barcelona,Sant Martí,vía Gran de Les Corts Catalanes,1050,67,2,1
Piso,Barcelona,NA,Eixample dreta,1700,50,1,1
Piso,Barcelona,Eixample dreta,calle Ausias Marc,2200,169,3,2
Piso,Barcelona,El Guinardó,calle Sant Pere Dabanto,975,71,2,1
Piso,Barcelona,Les Tres Torres,calle Del Doctor Carulla,1800,103,3,1
Piso,Barcelona,Eixample esquerra,calle Berlin,1190,90,3,1
Piso,Barcelona,Eixample dreta,calle Mallorca,2500,175,7,2
Piso,Barcelona,Sant Ramon-La Maternitat,calle Sant Ramón,950,73,3,2
Piso,Barcelona,Diagonal Mar,calle Josep Pla,1350,80,3,2
Piso,Barcelona,NA,Eixample dreta,1600,85,4,2
Piso,Barcelona,NA,El Raval,2100,80,4,2
Piso,Barcelona,NA,Les corts,1400,120,4,2
Piso,Barcelona,NA,El Putxet i Farró,1700,100,4,2
Piso,Barcelona,La Barceloneta,calle Balboa,1650,90,4,1
Piso,Barcelona,El Raval,calle De Bailèn,2800,120,3,2
Piso,Barcelona,La Font de la Guatlla,calle Gran Via de Les Corts Catalan,850,70,3,1
Piso,Barcelona,El Poble Sec-Montjuïc,calle Jaume Fabra,1500,71,3,1
Piso,Barcelona,Sant Antoni,calle Marques Campo Sagrado,1299,86,4,2
Piso,Barcelona,NA,Les Tres Torres,1500,80,2,2
Piso,Barcelona,NA,Sant Gervasi – Galvany,1150,55,2,1
Piso,Barcelona,Diagonal Mar,calle Josep Pla,1700,85,3,2
Piso,Barcelona,El Putxet i Farró,calle De la Costa,1100,65,2,1
Piso,Barcelona,NA,Sant Gervasi – Galvany,1000,95,5,1
Piso,Barcelona,Born-Santa Caterina-Sant Pere-La Ribera,calle Sant Pere Santa Caterina i la Ribera,900,43,1,1
Apartamento,Barcelona,NA,Eixample dreta,1950,92,2,2
Piso,Barcelona,Eixample esquerra,calle De Muntaner,1475,95,3,2
Piso,Barcelona,El Raval,calle De la Morera,850,46,2,1
Apartamento,Barcelona,NA,Ciutat  Vella,4500,210,2,2
Apartamento,Barcelona,NA,La Barceloneta,1000,35,1,1
Piso,Barcelona,Sant Gervasi – La Bonanova,calle General Mitre,1400,48,2,1
Piso,Barcelona,El Congrés i els Indians,calle Concepción Arenal,1250,99,4,1
Piso,Barcelona,La Sagrada Família,calle Castillejos,1100,60,2,1
Piso,Barcelona,NA,Ciutat  Vella,1200,68,1,1
Estudio,Barcelona,La Salut,calle De Mercedes,550,31,1,0
Piso,Barcelona,Eixample dreta,calle Rossello,1100,50,1,1
Piso,Barcelona,El Gótic,calle El Gòtic,1100,60,2,1
Apartamento,Barcelona,NA,Eixample dreta,2450,170,2,2
Piso,Barcelona,El Poblenou,calle Roc de Boronat,1390,76,2,1
Piso,Barcelona,Sants-Badal,calle Bonsoms,1300,50,2,1
Dúplex,Barcelona,NA,Les corts,1450,70,2,1
Piso,Barcelona,Trinitat Vella,calle Almassora,710,43,1,1
Apartamento,Barcelona,NA,El Gótic,1100,65,2,1
Piso,Barcelona,Les corts,calle Burdeos,1500,90,3,1
Apartamento,Barcelona,NA,El Raval,1400,34,1,1
Piso,Barcelona,Vallcarca i els Penitents,calle Gomis,890,70,3,1
Piso,Barcelona,Sant Gervasi – La Bonanova,calle General Mitre,1400,48,2,1
Piso,Barcelona,Sant Antoni,calle Viladomat,1300,54,2,1
Piso,Barcelona,El Raval,calle Carretes,900,50,1,1
Piso,Barcelona,La Salut,calle Coll del Portell,900,70,2,1
Piso,Barcelona,El Congrés i els Indians,calle Felip Bertran I Guell,1000,95,4,1
Piso,Barcelona,El Raval,calle De la Lluna,950,40,2,1
Casa,Barcelona,NA,Sant Genís dels Agudells,4500,120,3,2
Piso,Barcelona,NA,Sant Gervasi – La Bonanova,1450,55,1,1
Apartamento,Barcelona,NA,Eixample dreta,2450,170,2,2
Piso,Barcelona,Sants-Badal,calle Bonsoms,1300,47,2,1
Piso,Barcelona,La Bordeta,calle Moianes,990,70,3,1
Piso,Barcelona,NA,Ciutat  Vella,1600,102,2,2
Apartamento,Barcelona,NA,La Teixonera,1600,115,3,2
Piso,Barcelona,El Poblenou,calle Fernando Poo,900,49,2,1
Piso,Barcelona,El Carmel,calle Lugo,800,64,3,1
Piso,Barcelona,El Carmel,calle Puig Castellar,1000,72,4,2
Piso,Barcelona,NA,Sant Gervasi – La Bonanova,1600,88,3,2
Piso,Barcelona,Sant Gervasi – La Bonanova,calle De Craywinckel,750,65,1,0
Apartamento,Barcelona,NA,Eixample esquerra,3400,135,4,3
Piso,Barcelona,NA,Pedralbes,2600,145,3,3
Apartamento,Barcelona,NA,Eixample dreta,2150,102,2,2
Piso,Barcelona,NA,Ciutat  Vella,1600,67,2,2
Piso,Barcelona,Vila de Gràcia,calle Príncep D´Astúries,1500,140,3,1
Piso,Barcelona,Sant Gervasi – Galvany,calle Mestre Nicolau,2500,100,2,1
Piso,Barcelona,NA,Sant Antoni,1800,170,4,3
Piso,Barcelona,Ciutat  Vella,calle Aroles,1100,65,2,1
Piso,Barcelona,Les Tres Torres,calle Del Doctor Carulla,1700,112,2,2
Apartamento,Barcelona,NA,Sant Gervasi – Galvany,2700,100,2,2
Piso,Barcelona,NA,Sants,1600,85,4,2
Apartamento,Barcelona,NA,El Gótic,1400,85,3,2
Piso,Barcelona,NA,Eixample dreta,4500,133,4,2
Piso,Barcelona,NA,El Gótic,2200,85,2,1
Ático,Barcelona,NA,Sant Gervasi – La Bonanova,8840,284,6,5
Ático,Barcelona,NA,Navas,1850,90,3,2
